sut,workload,task_id,metric,value
BaselineLLMSystemCustomOpenAIFewShot,legal-easy-1,legal-easy-3,token_usage_sut,2450.0
BaselineLLMSystemCustomOpenAIFewShot,legal-easy-1,legal-easy-3,token_usage_sut_input,1812.0
BaselineLLMSystemCustomOpenAIFewShot,legal-easy-1,legal-easy-3,token_usage_sut_output,638.0
BaselineLLMSystemCustomOpenAIFewShot,legal-easy-1,legal-easy-3,runtime,14.62904405593872
BaselineLLMSystemCustomOpenAIFewShot,legal-easy-1,legal-easy-3,mean_absolute_error,0.0
BaselineLLMSystemCustomOpenAIFewShot,legal-easy-1,legal-easy-3,mean_squared_error,0.0
BaselineLLMSystemCustomOpenAIFewShot,legal-easy-1,legal-easy-3,rae_score,1.0
BaselineLLMSystemCustomOpenAIFewShot,legal-easy-1,legal-easy-3,token_usage_metrics,0.0
BaselineLLMSystemCustomOpenAIFewShot,legal-easy-1,legal-easy-3,token_usage_metrics_input,0.0
BaselineLLMSystemCustomOpenAIFewShot,legal-easy-1,legal-easy-3,token_usage_metrics_output,0.0
BaselineLLMSystemCustomOpenAIFewShot,legal-easy-1,legal-easy-3,token_usage_subtask_eval,0.0
BaselineLLMSystemCustomOpenAIFewShot,legal-easy-1,legal-easy-3,token_usage_subtask_eval_input,0.0
BaselineLLMSystemCustomOpenAIFewShot,legal-easy-1,legal-easy-3,token_usage_subtask_eval_output,0.0
